,Train,Predicted
0,6.0,2.891693006346387
1,4.0,4.203353700419532
2,2.0,2.701313484950271
3,2.0,2.2971017002681293
4,5.0,5.035102773034762
5,3.0,3.3429880980423
6,3.0,2.804615671732961
7,6.0,4.615457944114462
8,3.0,3.5057297486938594
9,2.0,2.190518743309953
10,4.0,3.679326806600794
11,2.0,2.0603052933911368
12,7.0,6.147429831010821
13,6.0,5.264255750931234
14,4.0,3.582037871998427
15,8.0,6.344384517776321
16,7.0,5.703164395217349
17,4.0,3.7282139435177335
18,4.0,3.5933445372184023
19,3.0,2.861948344383123
20,2.0,2.316046026894316
21,4.0,3.954537060404446
22,3.0,2.751817159630308
23,2.0,2.3589856350643945
24,6.0,3.79669995119519
25,4.0,5.533689363098198
26,4.0,4.431984147514266
27,5.0,4.456539597692219
28,4.0,4.070589097768475
29,4.0,4.067077920512057
30,3.0,2.8118673617441274
31,3.0,3.403297746692816
32,4.0,3.222636701492423
33,4.0,3.701932036461282
34,4.0,3.568057016377839
35,3.0,2.8433990168091077
36,3.0,2.762463248556129
37,4.0,3.7503216776802497
38,3.0,4.038907775323962
39,3.0,2.9515995695743458
40,4.0,4.25819014125925
41,4.0,3.743664134986884
42,4.0,4.1203990601065295
43,4.0,3.5501714668720807
44,3.0,3.5400908346760094
45,3.0,2.8314947820699894
46,5.0,4.602338695524155
47,5.0,4.6531337537293815
48,4.0,4.400022062389857
49,4.0,3.79356085511934
50,5.0,4.649037957353996
51,6.0,4.917688550345728
52,6.0,5.0872973819004255
53,4.0,3.6449864210034364
54,3.0,3.247236329233229
55,3.0,3.527000616545731
56,3.0,3.2844485463949087
57,3.0,3.1626074116376843
58,4.0,4.63415302929573
59,3.0,4.049923573037163
60,4.0,3.1430016806494
61,4.0,4.658640558284096
62,5.0,4.1587755840909475
63,5.0,4.771118253011736
64,5.0,4.346112425010949
65,4.0,3.7495001418739857
66,3.0,3.5846670066882615
67,3.0,3.3168964703394677
68,4.0,3.458686825279947
69,5.0,4.387707630817156
70,4.0,3.3294872491036456
71,3.0,3.4389089358805656
72,3.0,5.175124063071155
73,5.0,4.540612290705882
74,5.0,4.936188441940593
75,3.0,2.851511762508903
76,3.0,2.9104461331842693
77,3.0,3.166145795480152
78,3.0,2.2216465507639107
79,3.0,3.1961290875503874
80,3.0,2.2565427343914415
81,3.0,3.5088346486296738
82,3.0,2.751950486058952
83,2.0,2.625248537196306
84,4.0,4.250228135632401
85,4.0,3.795783007726536
86,2.0,2.603661116524812
87,3.0,2.5974243710450424
88,3.0,2.200326850696576
89,3.0,3.5381672966709967
90,3.0,3.1770030232273996
91,3.0,2.9417630970555404
92,3.0,2.976107647018626
93,3.0,2.7355017060768994
94,2.0,2.8892827508230536
95,3.0,3.4893263285247444
96,3.0,2.9188675326773756
97,3.0,2.403163155418257
98,3.0,3.697155181767811
99,4.0,4.328298889897358
100,3.0,3.2928990037580066
101,3.0,2.9037457454229862
102,3.0,2.7310332722653436
103,2.0,2.1927428259738124
104,3.0,3.0655685382775815
105,3.0,2.6327980755714417
106,2.0,2.773031146799779
107,2.0,2.754717571997766
108,2.0,2.1934373464858163
109,3.0,2.3662559766958307
110,3.0,2.7927439069183855
111,3.0,2.3543376010837287
112,2.0,2.3995464851524186
113,3.0,2.772585265558237
114,3.0,3.5711833697565467
115,4.0,3.483671096602883
116,4.0,4.405226471198272
117,4.0,4.164844847347748
118,4.0,4.067429649554127
119,4.0,4.141447287660355
120,4.0,3.440761171765862
121,4.0,3.8335200598342563
122,4.0,3.3543171355302652
123,3.0,3.166141868358194
124,4.0,4.364545623861416
125,4.0,4.486951277108951
126,4.0,3.696037996726332
127,4.0,4.0685927744421875
128,4.0,4.072352988620502
129,4.0,3.6433338156246258
130,4.0,4.062743627075497
131,3.0,3.604640670026609
132,5.0,4.620863482080618
133,4.0,3.9502762120457167
134,4.0,3.783012949218489
135,3.0,3.103748302049407
136,3.0,2.973332867707014
137,2.0,3.039710389091111
138,3.0,3.0193421649540246
139,3.0,3.5113362121326164
140,3.0,3.060640762209453
141,3.0,2.985841484791746
142,6.0,4.130424870536521
143,4.0,3.826125451289581
144,4.0,3.8174063672279903
145,3.0,3.6920352005202908
146,4.0,3.637874965564725
