,0
PEOE_VSA8,1.150371655567869
PEOE_VSA6,1.1300046617967574
VSA_EState2,0.9434832209225743
EState_VSA2,0.6418896489241261
PEOE_VSA7,0.6148283805574275
fr_unbrch_alkane,0.4808314181740576
EState_VSA6,0.3281855944196981
EState_VSA5,0.30824584251148845
FpDensityMorgan1,0.2785703244634938
SMR_VSA6,0.2677866031727842
EState_VSA4,0.24609574451619085
SlogP_VSA4,0.24117343628242813
MaxEStateIndex,0.22893108587561853
MinPartialCharge,0.2115726361994861
Chi3n,0.15009042111555015
Chi2n,0.14898027924121293
NumAromaticCarbocycles,0.09959218427144051
EState_VSA1,0.02472442860592799
MinEStateIndex,0.011218869086892402
MaxAbsEStateIndex,0.0017659474801244744
